Date,BRK-A,WMT,PG,HD,COST,HON
7/1/2016,216000,72.970001,85.589996,138.240005,167.220001,110.905479
8/1/2016,225760,71.440002,87.309998,134.119995,162.089996,111.267754
9/1/2016,216220,72.120003,89.75,128.679993,152.509995,111.153351
10/1/2016,215700,70.019997,86.800003,122.010002,147.869995,105.122719
11/1/2016,237000,70.43,82.459999,129.399994,150.110001,109.205711
12/1/2016,244121,69.120003,84.080002,134.080002,160.110001,111.036354
1/1/2017,245980,66.739998,87.599998,137.580002,163.949997,113.403725
2/1/2017,257100,70.93,91.07,144.910004,177.179993,119.326942
3/1/2017,249850,72.080002,89.849998,146.830002,167.690002,119.681564
4/1/2017,247780,75.18,87.330002,156.100006,177.520004,125.69104
5/1/2017,248440,78.599998,88.089996,153.509995,180.429993,127.464172
6/1/2017,254700,75.68,87.150002,153.399994,159.929993,127.751709
7/1/2017,262786,79.989998,90.82,149.600006,158.509995,130.464127
8/1/2017,271450,78.07,92.269997,149.869995,156.740005,132.52478
9/1/2017,274740,78.139999,90.980003,163.559998,164.289993,135.850601
10/1/2017,280470,87.309998,86.339996,165.779999,161.080002,138.170059
11/1/2017,291500,97.230003,89.989998,179.820007,184.429993,149.479752
12/1/2017,297600,98.75,91.879997,189.529999,186.119995,146.987793
1/1/2018,323375,106.599998,86.339996,200.899994,194.869995,153.035599
2/1/2018,310250,90.010002,78.519997,182.270004,190.899994,144.831268
3/1/2018,299100,88.970001,79.279999,178.240005,188.429993,138.505508
4/1/2018,290650,88.459999,72.339996,184.800003,197.160004,138.668442
5/1/2018,287200,82.540001,73.169998,186.550003,198.240005,141.764236
6/1/2018,282040,85.650002,78.059998,195.100006,208.979996,138.064621
7/1/2018,301550,89.230003,80.879997,197.520004,218.710007,153.016434
8/1/2018,315800,95.860001,82.949997,200.770004,233.130005,152.450943
9/1/2018,320000,93.910004,83.230003,207.149994,234.880005,159.485962
10/1/2018,307705,100.279999,88.68,175.880005,228.630005,144.820007
11/1/2018,326000,97.650002,94.510002,180.320007,231.279999,146.75
12/1/2018,306000,93.150002,91.919998,171.820007,203.710007,132.119995
1/1/2019,311500,95.830002,96.470001,183.529999,214.630005,143.630005
2/1/2019,302200,98.989998,98.550003,185.139999,218.740005,154.070007
3/1/2019,301215,97.529999,104.050003,191.889999,242.139999,158.919998
4/1/2019,325080,102.839996,106.480003,203.699997,245.529999,173.630005
5/1/2019,297060,101.440002,102.910004,189.850006,239.580002,164.309998
6/1/2019,318350,110.489998,109.650002,207.970001,264.26001,174.589996
7/1/2019,308666,110.379997,118.040001,213.690002,275.630005,172.460007
8/1/2019,303078,114.260002,120.230003,227.910004,294.76001,164.619995
9/1/2019,311832,118.68,124.379997,232.020004,288.109985,169.199997
10/1/2019,318939,117.260002,124.510002,234.580002,297.109985,172.729996
11/1/2019,330495,119.089996,122.059998,220.509995,299.809998,178.550003
12/1/2019,339590,118.839996,124.900002,218.380005,293.920013,177
1/1/2020,335996,114.489998,124.620003,228.100006,305.519989,173.220001
2/1/2020,309096,107.68,113.230003,217.839996,281.140015,162.169998
